id,title,difficulty,section,tags,status,last_reviewed
1,Two Sum,Easy,Arrays & Hashing,array|hash-table,todo,
2,Add Two Numbers,Medium,Linked List,linked-list|math|recursion,todo,
3,Longest Substring Without Repeating Characters,Medium,Sliding Window,hash-table|string|sliding-window,todo,
4,Median of Two Sorted Arrays,Hard,Binary Search,array|binary-search|divide-and-conquer,todo,
5,Longest Palindromic Substring,Medium,1-D Dynamic Programming,two-pointers|string|dynamic-programming,todo,
7,Reverse Integer,Medium,Bit Manipulation,math,todo,
10,Regular Expression Matching,Hard,2-D Dynamic Programming,string|dynamic-programming|recursion,todo,
11,Container With Most Water,Medium,Two Pointers,array|two-pointers|greedy,todo,
15,3Sum,Medium,Two Pointers,array|two-pointers|sorting,todo,
17,Letter Combinations of a Phone Number,Medium,Backtracking,hash-table|string|backtracking,todo,
19,Remove Nth Node From End of List,Medium,Linked List,linked-list|two-pointers,todo,
20,Valid Parentheses,Easy,Stack,string|stack,todo,
21,Merge Two Sorted Lists,Easy,Linked List,linked-list|recursion,todo,
22,Generate Parentheses,Medium,Backtracking,string|dynamic-programming|backtracking,todo,
23,Merge k Sorted Lists,Hard,Linked List,linked-list|divide-and-conquer|heap-priority-queue|merge-sort,todo,
25,Reverse Nodes in k-Group,Hard,Linked List,linked-list|recursion,todo,
33,Search in Rotated Sorted Array,Medium,Binary Search,array|binary-search,todo,
36,Valid Sudoku,Medium,Arrays & Hashing,array|hash-table|matrix,todo,
39,Combination Sum,Medium,Backtracking,array|backtracking,todo,
40,Combination Sum II,Medium,Backtracking,array|backtracking,todo,
42,Trapping Rain Water,Hard,Two Pointers,array|two-pointers|dynamic-programming|stack|monotonic-stack,todo,
43,Multiply Strings,Medium,Math & Geometry,math|string|simulation,todo,
45,Jump Game II,Medium,Greedy,array|dynamic-programming|greedy,todo,
46,Permutations,Medium,Backtracking,array|backtracking,todo,
48,Rotate Image,Medium,Math & Geometry,array|math|matrix,todo,
49,Group Anagrams,Medium,Arrays & Hashing,array|hash-table|string|sorting,todo,
50,"Pow(x, n)",Medium,Math & Geometry,math|recursion,todo,
51,N-Queens,Hard,Backtracking,array|backtracking,todo,
53,Maximum Subarray,Medium,Greedy,array|divide-and-conquer|dynamic-programming,todo,
54,Spiral Matrix,Medium,Math & Geometry,array|matrix|simulation,todo,
55,Jump Game,Medium,Greedy,array|dynamic-programming|greedy,todo,
56,Merge Intervals,Medium,Intervals,array|sorting,todo,
57,Insert Interval,Medium,Intervals,array,todo,
62,Unique Paths,Medium,2-D Dynamic Programming,math|dynamic-programming|combinatorics,todo,
66,Plus One,Easy,Math & Geometry,array|math,todo,
70,Climbing Stairs,Easy,1-D Dynamic Programming,math|dynamic-programming|memoization,todo,
72,Edit Distance,Medium,2-D Dynamic Programming,string|dynamic-programming,todo,
73,Set Matrix Zeroes,Medium,Math & Geometry,array|hash-table|matrix,todo,
74,Search a 2D Matrix,Medium,Binary Search,array|binary-search|matrix,todo,
76,Minimum Window Substring,Hard,Sliding Window,hash-table|string|sliding-window,todo,
78,Subsets,Medium,Backtracking,array|backtracking|bit-manipulation,todo,
79,Word Search,Medium,Backtracking,array|string|backtracking|depth-first-search|matrix,todo,
84,Largest Rectangle in Histogram,Hard,Stack,array|stack|monotonic-stack,todo,
90,Subsets II,Medium,Backtracking,array|backtracking|bit-manipulation,todo,
91,Decode Ways,Medium,1-D Dynamic Programming,string|dynamic-programming,todo,
97,Interleaving String,Medium,2-D Dynamic Programming,string|dynamic-programming,todo,
98,Validate Binary Search Tree,Medium,Trees,tree|depth-first-search|binary-search-tree|binary-tree,todo,
100,Same Tree,Easy,Trees,tree|depth-first-search|breadth-first-search|binary-tree,todo,
102,Binary Tree Level Order Traversal,Medium,Trees,tree|breadth-first-search|binary-tree,todo,
104,Maximum Depth of Binary Tree,Easy,Trees,tree|depth-first-search|breadth-first-search|binary-tree,todo,
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Trees,array|hash-table|divide-and-conquer|tree|binary-tree,todo,
110,Balanced Binary Tree,Easy,Trees,tree|depth-first-search|binary-tree,todo,
115,Distinct Subsequences,Hard,2-D Dynamic Programming,string|dynamic-programming,todo,
121,Best Time to Buy and Sell Stock,Easy,Sliding Window,array|dynamic-programming,todo,
124,Binary Tree Maximum Path Sum,Hard,Trees,dynamic-programming|tree|depth-first-search|binary-tree,todo,
125,Valid Palindrome,Easy,Two Pointers,two-pointers|string,todo,
127,Word Ladder,Hard,Graphs,hash-table|string|breadth-first-search,todo,
128,Longest Consecutive Sequence,Medium,Arrays & Hashing,array|hash-table|union-find,todo,
130,Surrounded Regions,Medium,Graphs,array|depth-first-search|breadth-first-search|union-find|matrix,todo,
131,Palindrome Partitioning,Medium,Backtracking,string|dynamic-programming|backtracking,todo,
133,Clone Graph,Medium,Graphs,hash-table|depth-first-search|breadth-first-search|graph,todo,
134,Gas Station,Medium,Greedy,array|greedy,todo,
136,Single Number,Easy,Bit Manipulation,array|bit-manipulation,todo,
138,Copy List with Random Pointer,Medium,Linked List,hash-table|linked-list,todo,
139,Word Break,Medium,1-D Dynamic Programming,array|hash-table|string|dynamic-programming|trie|memoization,todo,
141,Linked List Cycle,Easy,Linked List,hash-table|linked-list|two-pointers,todo,
143,Reorder List,Medium,Linked List,linked-list|two-pointers|stack|recursion,todo,
146,LRU Cache,Medium,Linked List,hash-table|linked-list|design|doubly-linked-list,todo,
150,Evaluate Reverse Polish Notation,Medium,Stack,array|math|stack,todo,
152,Maximum Product Subarray,Medium,1-D Dynamic Programming,array|dynamic-programming,todo,
153,Find Minimum in Rotated Sorted Array,Medium,Binary Search,array|binary-search,todo,
155,Min Stack,Medium,Stack,stack|design,todo,
167,Two Sum II - Input Array Is Sorted,Medium,Two Pointers,array|two-pointers|binary-search,todo,
190,Reverse Bits,Easy,Bit Manipulation,divide-and-conquer|bit-manipulation,todo,
191,Number of 1 Bits,Easy,Bit Manipulation,divide-and-conquer|bit-manipulation,todo,
198,House Robber,Medium,1-D Dynamic Programming,array|dynamic-programming,todo,
199,Binary Tree Right Side View,Medium,Trees,tree|depth-first-search|breadth-first-search|binary-tree,todo,
200,Number of Islands,Medium,Graphs,array|depth-first-search|breadth-first-search|union-find|matrix,todo,
202,Happy Number,Easy,Math & Geometry,hash-table|math|two-pointers,todo,
206,Reverse Linked List,Easy,Linked List,linked-list|recursion,todo,
207,Course Schedule,Medium,Graphs,depth-first-search|breadth-first-search|graph|topological-sort,todo,
208,Implement Trie (Prefix Tree),Medium,Tries,hash-table|string|design|trie,todo,
210,Course Schedule II,Medium,Graphs,depth-first-search|breadth-first-search|graph|topological-sort,todo,
211,Design Add and Search Words Data Structure,Medium,Tries,string|depth-first-search|design|trie,todo,
212,Word Search II,Hard,Tries,array|string|backtracking|trie|matrix,todo,
213,House Robber II,Medium,1-D Dynamic Programming,array|dynamic-programming,todo,
215,Kth Largest Element in an Array,Medium,Heap / Priority Queue,array|divide-and-conquer|sorting|heap-priority-queue|quickselect,todo,
217,Contains Duplicate,Easy,Arrays & Hashing,array|hash-table|sorting,todo,
226,Invert Binary Tree,Easy,Trees,tree|depth-first-search|breadth-first-search|binary-tree,todo,
230,Kth Smallest Element in a BST,Medium,Trees,tree|depth-first-search|binary-search-tree|binary-tree,todo,
235,Lowest Common Ancestor of a Binary Search Tree,Medium,Trees,tree|depth-first-search|binary-search-tree|binary-tree,todo,
238,Product of Array Except Self,Medium,Arrays & Hashing,array|prefix-sum,todo,
239,Sliding Window Maximum,Hard,Sliding Window,array|queue|sliding-window|heap-priority-queue|monotonic-queue,todo,
242,Valid Anagram,Easy,Arrays & Hashing,hash-table|string|sorting,todo,
252,Meeting Rooms,Easy,Intervals,array|sorting,todo,
253,Meeting Rooms II,Medium,Intervals,array|two-pointers|greedy|sorting|heap-priority-queue|prefix-sum,todo,
261,Graph Valid Tree,Medium,Graphs,depth-first-search|breadth-first-search|union-find|graph,todo,
268,Missing Number,Easy,Bit Manipulation,array|hash-table|math|binary-search|bit-manipulation|sorting,todo,
269,Alien Dictionary,Hard,Advanced Graphs,array|string|depth-first-search|breadth-first-search|graph|topological-sort,todo,
271,Encode and Decode Strings,Medium,Arrays & Hashing,array|string|design,todo,
286,Walls and Gates,Medium,Graphs,array|breadth-first-search|matrix,todo,
287,Find the Duplicate Number,Medium,Linked List,array|two-pointers|binary-search|bit-manipulation,todo,
295,Find Median from Data Stream,Hard,Heap / Priority Queue,two-pointers|design|sorting|heap-priority-queue|data-stream,todo,
297,Serialize and Deserialize Binary Tree,Hard,Trees,string|tree|depth-first-search|breadth-first-search|design|binary-tree,todo,
300,Longest Increasing Subsequence,Medium,1-D Dynamic Programming,array|binary-search|dynamic-programming,todo,
309,Best Time to Buy and Sell Stock with Cooldown,Medium,2-D Dynamic Programming,array|dynamic-programming,todo,
312,Burst Balloons,Hard,2-D Dynamic Programming,array|dynamic-programming,todo,
322,Coin Change,Medium,1-D Dynamic Programming,array|dynamic-programming|breadth-first-search,todo,
323,Number of Connected Components in an Undirected Graph,Medium,Graphs,depth-first-search|breadth-first-search|union-find|graph,todo,
329,Longest Increasing Path in a Matrix,Hard,2-D Dynamic Programming,array|dynamic-programming|depth-first-search|breadth-first-search|graph|topological-sort|memoization|matrix,todo,
332,Reconstruct Itinerary,Hard,Advanced Graphs,array|string|depth-first-search|graph|sorting|heap-priority-queue|eulerian-circuit,todo,
338,Counting Bits,Easy,Bit Manipulation,dynamic-programming|bit-manipulation,todo,
347,Top K Frequent Elements,Medium,Arrays & Hashing,array|hash-table|divide-and-conquer|sorting|heap-priority-queue|bucket-sort|counting|quickselect,todo,
355,Design Twitter,Medium,Heap / Priority Queue,hash-table|linked-list|design|heap-priority-queue,todo,
